Hardware Piece,Purpose,Config Name,Hub,Port,Notes
Motor,Front-left wheel,motorFrontLeft,Control Hub,Motor 0,Reversed
Motor,Front-right wheel,motorFrontRight,TBD,TBD,
Motor,Back-left wheel,motorBackLeft,TBD,TBD,
Motor,Back-right wheel,motorBackRight,TBD,TBD,
Motor,Left shooter flywheel,s1,TBD,TBD,
Motor,Right shooter flywheel,s2,TBD,TBD,
Motor,Intake,intake,TBD,TBD,
Motor,Transfer,transfer,TBD,TBD,
Servo,Hood angle,hood,TBD,TBD,
Servo,First turret servo,servo1,TBD,TBD,
Servo,Second turret servo,servo2,TBD,TBD,
Servo,Game-piece stopper,stopper,TBD,TBD,
Limelight,Vision camera,limelight,TBD,TBD,Pipeline 0 by default
Pinpoint,Robot localization,pinpoint,Control Hub,I2C bus 3,
